#chr	length	allowed_values
1	249250621	1,chr1,Chr1
2	243199373	2,chr2,Chr2
3	198022430	3,chr3,Chr3
4	191154276	4,chr4,Chr4
5	180915260	5,chr5,Chr5
6	171115067	6,chr6,Chr6
7	159138663	7,chr7,Chr7
8	146364022	8,chr8,Chr8
9	141213431	9,chr9,Chr9
10	135534747	10,chr10,Chr10
11	135006516	11,chr11,Chr11
12	133851895	12,chr12,Chr12
13	115169878	13,chr13,Chr13
14	107349540	14,chr14,Chr14
15	102531392	15,chr15,Chr15
16	90354753	16,chr16,Chr16
17	81195210	17,chr17,Chr17
18	78077248	18,chr18,Chr18
19	59128983	19,chr19,Chr19
20	63025520	20,chr20,Chr20
21	48129895	21,chr21,Chr21
22	51304566	22,chr22,Chr22
X	155270560	X,chrX,x,ChrX,Chrx
Y	59373566	Y,chrY,y,ChrY,Chry
